t1	p	t2
http://xmlns.com/foaf/0.1/Person	http://purl.org/spar/pro/holdsRoleInTime	http://purl.org/spar/pro/RoleInTime
http://givingsense.eu/sembib/onto/tpt/group	http://givingsense.eu/sembib/onto/memberOf	http://givingsense.eu/sembib/onto/department
http://purl.org/spar/pro/RoleInTime	http://purl.org/spar/pro/relatesToOrganization	http://xmlns.com/foaf/0.1/Organization
http://www.w3.org/2002/07/owl#Restriction	http://www.w3.org/2002/07/owl#onProperty	http://www.w3.org/2002/07/owl#ObjectProperty
http://www.w3.org/2002/07/owl#TransitiveProperty	http://www.w3.org/2002/07/owl#inverseOf	http://www.w3.org/2002/07/owl#ObjectProperty
http://www.w3.org/2002/07/owl#SymmetricProperty	http://www.w3.org/2000/01/rdf-schema#subPropertyOf	http://www.w3.org/2002/07/owl#ObjectProperty
http://www.w3.org/2003/11/swrl#IndividualPropertyAtom	http://www.w3.org/2003/11/swrl#propertyPredicate	http://www.w3.org/2002/07/owl#ObjectProperty
http://www.w3.org/2002/07/owl#FunctionalProperty	http://www.w3.org/2000/01/rdf-schema#subPropertyOf	http://www.w3.org/2002/07/owl#ObjectProperty
http://www.w3.org/2002/07/owl#TransitiveProperty	http://www.w3.org/2000/01/rdf-schema#subPropertyOf	http://www.w3.org/2002/07/owl#ObjectProperty
http://www.w3.org/2002/07/owl#InverseFunctionalProperty	http://www.w3.org/2002/07/owl#inverseOf	http://www.w3.org/2002/07/owl#ObjectProperty
http://www.w3.org/2004/02/skos/core#Concept	http://www.w3.org/2004/02/skos/core#inScheme	http://www.w3.org/2004/02/skos/core#ConceptScheme
http://www.w3.org/2002/07/owl#FunctionalProperty	http://www.w3.org/2000/01/rdf-schema#subPropertyOf	http://www.w3.org/2002/07/owl#DatatypeProperty
http://www.w3.org/2002/07/owl#AnnotationProperty	http://www.w3.org/2000/01/rdf-schema#subPropertyOf	http://www.w3.org/2002/07/owl#DatatypeProperty
http://www.w3.org/2002/07/owl#Restriction	http://www.w3.org/2002/07/owl#onProperty	http://www.w3.org/2002/07/owl#DatatypeProperty
http://www.w3.org/2003/11/swrl#DatavaluedPropertyAtom	http://www.w3.org/2003/11/swrl#propertyPredicate	http://www.w3.org/2002/07/owl#DatatypeProperty
